country,continent,year,lifeExp,pop,gdpPercap
Algeria,Africa,2002,70.994,31287142,5288.040382
Algeria,Africa,2007,72.301,33333216,6223.367465
Angola,Africa,2002,41.003,10866106,2773.287312
Angola,Africa,2007,42.731,12420476,4797.231267
Benin,Africa,2002,54.406,7026113,1372.877931
Benin,Africa,2007,56.728,8078314,1441.284873
Botswana,Africa,2002,46.634,1630347,11003.60508
Botswana,Africa,2007,50.728,1639131,12569.85177
Burkina Faso,Africa,2002,50.65,12251209,1037.645221
Burkina Faso,Africa,2007,52.295,14326203,1217.032994
Burundi,Africa,2002,47.36,7021078,446.4035126
Burundi,Africa,2007,49.58,8390505,430.0706916
Cameroon,Africa,2002,49.856,15929988,1934.011449
Cameroon,Africa,2007,50.43,17696293,2042.09524
Central African Republic,Africa,2002,43.308,4048013,738.6906068
Central African Republic,Africa,2007,44.741,4369038,706.016537
Chad,Africa,2002,50.525,8835739,1156.18186
Chad,Africa,2007,50.651,10238807,1704.063724
Comoros,Africa,2002,62.974,614382,1075.811558
Comoros,Africa,2007,65.152,710960,986.1478792
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,241.1658765
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,277.5518587
"Congo, Rep.",Africa,2002,52.97,3328795,3484.06197
"Congo, Rep.",Africa,2007,55.322,3800610,3632.557798
Cote d'Ivoire,Africa,2002,46.832,16252726,1648.800823
Cote d'Ivoire,Africa,2007,48.328,18013409,1544.750112
Djibouti,Africa,2002,53.373,447416,1908.260867
Djibouti,Africa,2007,54.791,496374,2082.481567
Egypt,Africa,2002,69.806,73312559,4754.604414
Egypt,Africa,2007,71.338,80264543,5581.180998
Equatorial Guinea,Africa,2002,49.348,495627,7703.4959
Equatorial Guinea,Africa,2007,51.579,551201,12154.08975
Eritrea,Africa,2002,55.24,4414865,765.3500015
Eritrea,Africa,2007,58.04,4906585,641.3695236
Ethiopia,Africa,2002,50.725,67946797,530.0535319
Ethiopia,Africa,2007,52.947,76511887,690.8055759
Gabon,Africa,2002,56.761,1299304,12521.71392
Gabon,Africa,2007,56.735,1454867,13206.48452
